id,amt,pushed,bank_entry_id,cheque_entry_id,bill_id
331,3892,t,100362,,CA00887
334,286,t,100370,,CA00900
330,96374,t,100360,,CA00969
335,13323,t,100374,,CA00816
297,2949,t,100261,,CA00666
327,68,t,100301,,CA00023
322,6096,t,100301,,CA00299
323,38257,t,100301,,CA00645
324,76596,t,100301,,CA00646
325,38451,t,100301,,CA00739
326,2553,t,100301,,CA00740
337,5590,f,,34,CA00741
338,1568,f,,35,CA00877
339,3068,f,,36,CA01015
340,2851,f,,36,CA00949
348,43035,t,100342,,CA00023
352,1653,t,100339,,CA00603
341,51751,t,100208,,CA00780
353,2573,t,100339,,CA00797
351,3214,t,100344,,CA00874
350,29573,t,100343,,CA00888
349,25143,t,100343,,CA00889
342,22641,t,100208,,CA00936
346,35268,t,100208,,CA00937
343,74858,t,100208,,CA00938
345,18958,t,100208,,CA00939
344,29779,t,100208,,CA00940
347,3000,t,100325,,CA00942
336,22132,t,,33,CA00657
355,5590,t,100352,,CA00741
354,6082,t,100348,,CA00793
360,1852,t,100383,,CA00860
356,945,t,100378,,CA00883
359,864,t,100382,,CA00890
358,3067,t,100380,,CA01011
364,1568,t,100391,,CA00877
362,2851,t,100390,,CA00949
363,3068,t,100390,,CA01015
361,1828,t,100385,,CA00967
367,2499,f,,38,CA00727
384,89186,t,100446,,CA00627
383,25960,t,100446,,CA00634
376,4409,t,100432,,CA00788
385,45927,t,100447,,CA00790
381,1127,t,100440,,CA00802
368,16361,t,,39,CA00848
377,6683,t,100433,,CA00917
369,3124,t,,39,CA00924
380,826,t,100440,,CA00944
379,57089,t,100437,,CA00945
386,500,t,100455,,CA01008
382,1355,t,100440,,CA01010
375,800,t,100431,,CA01054
378,5968,t,100435,,CA01107
366,1531,t,,37,CA00810
365,594,t,,37,CA01056
389,86698,f,,44,CA00986
390,103664,f,,44,CA00987
391,105751,f,,44,CA00988
374,12068,t,,41,CA00852
392,5768,t,100404,,CA00865
393,523,t,100406,,CA01029
395,2939,t,100411,,CA01117
396,60002,t,100412,,CA01118
399,4432,t,100416,,CA01138
398,65802,t,100416,,CA01139
397,23306,t,100416,,CA01140
394,1939,t,100410,,CA01167
387,131197,t,,42,CA00814
400,6865,t,100444,,CA00946
403,86698,t,100460,,CA00986
402,103664,t,100460,,CA00987
401,105751,t,100460,,CA00988
388,1379,t,,43,CA00921
412,3000,t,100569,,CA00955
404,1636,t,,45,CA00970
414,885,t,100572,,CA01001
411,843,t,100555,,CA01047
406,1818,t,,47,CA01085
405,2409,t,,46,CA01106
408,894,t,100542,,CA01161
413,76830,t,100571,,CA01222
373,1303,t,,40,CA00621
372,421,t,,40,CA00683
407,616,t,100527,,CA00934
357,1000,f,100379,,CA00808
410,3290,t,100553,,CA00953
409,1579,t,100550,,CA01108
422,32318,t,100613,,CA01095
421,38923,t,100613,,CA01096
418,57769,t,100611,,CA01141
419,9741,t,100611,,CA01142
420,7877,t,100611,,CA01159
423,131,t,100415,,CA00890
424,327,t,100415,,CA00956
426,1726,t,100401,,CA01002
428,40766,t,100473,,CA01159
431,44959,t,100473,,CA01197
429,34007,t,100473,,CA01198
432,57262,t,100473,,CA01199
427,52010,t,100473,,CA01200
430,51919,t,100473,,CA01201
425,10726,t,,48,CA01087
435,212,t,100468,,CA01097
433,1489,t,100462,,CA01102
436,251,t,100468,,CA01163
434,5712,t,100466,,CA01213
437,5515,t,100467,,CA01013
440,2744,t,100398,,CA01018
439,653,t,100397,,CA01037
441,3251,t,100399,,CA01079
443,10000,t,100422,,CA01136
438,377,t,100476,,CA01169
442,1000,t,100405,,CA01188
444,2930,t,100443,,CA01082
454,67730,t,100483,,CA00943
452,2613,t,100482,,CA01088
453,40547,t,100483,,CA01109
451,7543,t,100481,,CA01228
450,2984,t,100477,,CA01274
445,1012,t,,49,CA01195
455,5753,f,,53,CA01068
456,7670,f,,53,CA01069
457,7675,f,,53,CA01135
461,2488,t,100513,,CA00950
460,4126,t,100506,,CA00999
446,4647,t,,50,CA01103
447,2477,t,,51,CA01214
448,3626,t,,51,CA01258
471,563,t,100581,,CA00619
469,2541,t,100580,,CA01013
470,30,t,100580,,CA01082
466,839,t,100562,,CA01091
458,94121,t,,54,CA01177
459,4000,t,,54,CA01178
467,394,t,100563,,CA01217
463,27022,t,100558,,CA01221
468,5407,t,100566,,CA01240
464,953,t,100560,,CA01255
462,100885,t,100557,,CA01307
465,1500,t,100561,,CA01326
473,550,t,100600,,CA01210
472,500,t,100599,,CA01281
488,1779,t,100619,,CA00866
487,1274,t,100614,,CA01086
479,56318,t,100608,,CA01099
489,13651,t,100619,,CA01149
476,1719,t,100605,,CA01220
478,17352,t,100607,,CA01241
477,25633,t,100607,,CA01242
480,6463,t,100608,,CA01263
481,13433,t,100608,,CA01264
482,55485,t,100608,,CA01265
483,68739,t,100608,,CA01266
484,2658,t,100608,,CA01267
485,45521,t,100608,,CA01268
486,8146,t,100608,,CA01269
490,6439,f,,57,CA01206
475,2333,t,,56,CA01019
449,21942,t,,52,CA01070
493,584,t,100642,,CA01158
491,500,t,100639,,CA01165
492,369,t,100640,,CA01165
474,3470,t,,55,CA01275
494,7700,t,100646,,CA01386
497,36350,t,100525,,CA00825
498,11078,t,100525,,CA01192
499,27990,t,100525,,CA01193
501,6439,t,100556,,CA01206
495,19764,t,100518,,CA01207
500,2000,t,100548,,CA01346
496,1767,t,100519,,CA01411
502,40637,t,100488,,CA01332
509,21371,t,100495,,CA01357
504,31176,t,100495,,CA01358
505,67720,t,100495,,CA01359
508,38089,t,100495,,CA01360
507,36338,t,100495,,CA01361
506,30282,t,100495,,CA01362
503,2186,t,,58,CA01105
512,3429,t,100709,,CA01253
513,21668,t,100713,,CA01293
511,1000,t,100489,,CA01382
510,1000,t,100491,,CA01389
520,901,t,100587,,CA01248
