id,amt,pushed,bank_entry_id,cheque_entry_id,bill_id
271,5254,t,,70,CB00307
285,22489,t,100551,,CB00327
281,5900,t,100549,,CB00345
270,12924,t,,69,CB00347
280,6970,t,100541,,CB00354
284,43317,t,100551,,CB00360
282,20686,t,100551,,CB00379
286,50235,t,100567,,CB00393
267,17629,t,,67,CB00369
268,2821,t,,67,CB00383
287,4153,t,100570,,CB00324
288,25272,t,100606,,CB00343
290,12622,t,100609,,CB00317
289,2206,t,100609,,CB00359
291,88433,t,100548,,CB00341
292,30804,t,100548,,CB00385
294,9487,f,,73,CB00422
296,20209,t,100471,,CB00338
298,37542,t,100471,,CB00339
299,62227,t,100471,,CB00340
295,34734,t,100471,,CB00392
297,30112,t,100471,,CB00395
302,19854,t,100468,,CB00355
301,12678,t,100467,,CB00413
303,4520,t,100469,,CB00425
300,1763,t,100466,,CB00443
308,16710,f,,78,CB00410
310,251,t,100389,,CB00322
311,6072,t,100389,,CB00323
316,1560,t,100436,,CB00324
312,8716,t,100389,,CB00346
309,11112,t,,79,CB00353
317,1870,t,100436,,CB00362
305,5638,t,,75,CB00370
307,54655,t,,77,CB00387
306,2296,t,,76,CB00405
293,17650,t,,72,CB00407
313,4199,t,100397,,CB00420
314,9487,t,100415,,CB00422
315,24392,t,100416,,CB00496
304,10000,t,,74,CB00308
329,130573,t,100482,,CB00391
327,180184,t,100477,,CB00418
326,57617,t,100477,,CB00419
325,1955,t,100475,,CB00441
328,1668,t,100477,,CB00479
318,52856,t,,80,CB00396
319,15245,t,,80,CB00397
320,118070,t,,80,CB00400
321,122552,t,,80,CB00401
330,57947,t,100502,,CB00335
324,36272,t,,83,CB00342
331,29979,t,100502,,CB00372
322,14497,t,,81,CB00406
334,3079,t,100511,,CB00435
335,1536,t,100511,,CB00436
332,37253,t,100509,,CB00449
333,15340,t,100509,,CB00450
336,1061,t,100512,,CB00488
341,52066,t,100562,,CB00337
323,34739,t,,82,CB00404
338,78365,t,,85,CB00433
339,48701,t,100556,,CB00471
340,7085,t,100561,,CB00485
342,9660,t,100576,,CB00550
343,17623,t,100598,,CB00415
344,6770,f,,86,CB00424
347,68317,t,100610,,CB00388
346,5000,t,100603,,CB00416
348,44193,t,100612,,CB00445
350,24320,t,100615,,CB00452
349,4774,t,100612,,CB00456
351,28500,t,100615,,CB00461
354,48106,t,100617,,CB00473
352,43842,t,100617,,CB00475
353,9765,t,100617,,CB00476
337,5174,t,,84,CB00504
355,7209,f,,88,CB00308
356,3756,f,,89,CB00308
357,6244,f,,89,CB00486
360,24996,t,100633,,CB00411
364,6770,t,100644,,CB00424
362,36994,t,100641,,CB00460
359,13608,t,100630,,CB00470
361,43268,t,100640,,CB00497
363,12128,t,100642,,CB00500
345,32047,t,,87,CB00530
365,3268,t,100631,,CB00592
366,1019,t,100500,,CB00470
370,90811,t,100519,,CB00464
371,27064,t,100519,,CB00465
372,29970,t,100519,,CB00466
375,48991,t,100545,,CB00482
358,9070,t,,90,CB00487
374,231,t,100522,,CB00490
376,7490,t,100545,,CB00507
373,8016,t,100522,,CB00510
377,6488,t,100484,,CB00518
378,115037,t,100484,,CB00528
380,5652,t,,94,CB00244
381,566,t,,94,CB00367
368,50390,t,,91,CB00453
367,20090,t,,91,CB00474
369,10593,t,,92,CB00478
384,2211,t,,97,CB00491
379,2000,t,,93,CB00503
386,27329,t,,98,CB00511
385,4087,t,,97,CB00512
382,41293,t,,95,CB00532
387,6154,t,100693,,CB00548
383,7391,t,,96,CB00414
388,20275,t,100700,,CB00446
389,15000,t,100697,,CB00529
391,18946,t,100581,,CB00457
392,36758,t,100581,,CB00481
390,78965,t,100584,,CB00508
393,12888,t,100587,,CB00537
394,12173,t,100495,,CB00437
396,15000,t,100508,,CB00483
395,63904,t,100496,,CB00493
397,2093,t,100579,,CB00501
403,2943,t,100590,,CB00505
398,100278,t,100582,,CB00521
399,35268,t,100582,,CB00524
400,32733,t,100582,,CB00525
404,6634,t,100592,,CB00559
402,19908,t,100588,,CB00574
401,30247,t,100588,,CB00608
405,4617,t,100595,,CB00523
406,72106,t,,99,CB00439
424,35187,t,100675,,CB00451
416,15948,t,100675,,CB00454
420,10277,t,100675,,CB00455
411,3177,t,,103,CB00468
418,16454,t,100675,,CB00494
423,15905,t,100675,,CB00495
408,2773,t,,100,CB00503
413,12998,t,,105,CB00519
410,1224,t,,102,CB00522
409,5606,t,,101,CB00526
419,34888,t,100675,,CB00531
426,26883,t,100675,,CB00538
421,20521,t,100675,,CB00539
407,72131,t,,99,CB00540
414,51858,t,,106,CB00561
415,2000,t,,106,CB00562
412,11356,t,,104,CB00568
417,2065,t,100675,,CB00585
422,32202,t,100675,,CB00586
425,35912,t,100675,,CB00606
427,4712,t,100627,,CB00506
429,4303,t,100676,,CB00520
428,2433,t,100628,,CB00535
431,12516,t,,108,CB00515
430,24970,t,,107,CB00551
432,40250,t,,109,CB00587
438,2000,t,100729,,CB00536
439,2000,t,100730,,CB00536
440,70,t,100731,,CB00536
446,30602,t,100735,,CB00480
441,20525,t,100734,,CB00542
442,46297,t,100734,,CB00543
443,18473,t,100734,,CB00544
444,13701,t,100734,,CB00545
445,4950,t,100734,,CB00546
437,7466,t,,113,CB00549
434,19746,t,,111,CB00571
433,14404,t,,110,CB00459
448,11175,t,100759,,CB00438
447,9780,t,100758,,CB00514
435,20755,t,,112,CB00533
436,4116,t,,112,CB00594
449,5000,t,100769,,CB00584
450,8020,t,100782,,CB00483
451,2000,t,100780,,CB00590
452,2403,t,100781,,CB00590
457,11087,t,100752,,CB00509
459,33897,t,100725,,CB00563
458,34857,t,100724,,CB00564
456,12556,t,,115,CB00595
453,21839,t,,114,CB00597
454,48866,t,,114,CB00603
455,2105,t,,114,CB00604
461,8566,t,,117,CB00516
