bill_id,reason,print_time,print_type,irn,vehicle_id,delivered,loading_time,delivered_time,plain_loading_sheet,cash_bill,is_reloaded,delivery_reason,loading_sheet_id
AB77619,,2026-01-28 09:11:28.047776+00,first_copy,,,,,,f,f,t,,
AB77620,,2026-01-28 09:11:28.047776+00,first_copy,,,,,,f,f,t,,
AB77621,,2026-01-28 09:11:28.047776+00,first_copy,,,,,,f,f,t,,
AB77622,,2026-01-28 09:11:28.047776+00,first_copy,,,,,,f,f,t,,
AB77623,,2026-01-28 09:11:28.047776+00,first_copy,,,,,,f,f,t,,
AB77624,,2026-01-28 09:11:28.047776+00,first_copy,,,,,,f,f,t,,
AB77625,,2026-01-28 09:11:28.047776+00,first_copy,,,,,,f,f,t,,
AB77626,,2026-01-28 09:11:28.047776+00,first_copy,,,,,,f,f,t,,
AB77627,,2026-01-28 09:11:28.047776+00,first_copy,,,,,,f,f,t,,
AB77628,,2026-01-28 09:55:59.560474+00,first_copy,,,,,,f,f,t,,
AB77632,,2026-01-28 09:55:59.560474+00,first_copy,,,,,,f,f,t,,
AB77633,,2026-01-28 09:55:59.560474+00,first_copy,,,,,,f,f,t,,
AB77634,,2026-01-28 09:55:59.560474+00,first_copy,,,,,,f,f,t,,
AB77635,,2026-01-28 09:55:59.560474+00,first_copy,,,,,,f,f,t,,
AB77629,,2026-01-28 09:53:30.513866+00,loading_sheet_salesman,,,,,,f,f,t,,SMAB77629
AB77630,,2026-01-28 09:53:30.513866+00,loading_sheet_salesman,,,,,,f,f,t,,SMAB77629
AB77646,,2026-01-28 09:53:30.513866+00,loading_sheet_salesman,,,,,,f,f,t,,SMAB77629
AB77647,,2026-01-28 09:53:30.513866+00,loading_sheet_salesman,,,,,,f,f,t,,SMAB77629
AB77648,,2026-01-28 09:53:30.513866+00,loading_sheet_salesman,,,,,,f,f,t,,SMAB77629
AB77636,,2026-01-28 09:55:59.560474+00,first_copy,,,,,,f,f,t,,
AB77637,,2026-01-28 09:55:59.560474+00,first_copy,,,,,,f,f,t,,
AB77586,,2026-01-28 09:53:56.887215+00,first_copy,,,,,,f,f,t,,
AB77587,,2026-01-28 09:53:56.887215+00,first_copy,,,,,,f,f,t,,
AB77588,,2026-01-28 09:53:56.887215+00,first_copy,,,,,,f,f,t,,
AB77593,,2026-01-28 09:53:56.887215+00,first_copy,,,,,,f,f,t,,
AB77594,,2026-01-28 09:53:56.887215+00,first_copy,,,,,,f,f,t,,
AB77595,,2026-01-28 09:53:56.887215+00,first_copy,,,,,,f,f,t,,
AB77596,,2026-01-28 09:53:56.887215+00,first_copy,,,,,,f,f,t,,
AB77597,,2026-01-28 09:53:56.887215+00,first_copy,,,,,,f,f,t,,
AB77598,,2026-01-28 09:53:56.887215+00,first_copy,,,,,,f,f,t,,
AB77599,,2026-01-28 09:53:56.887215+00,first_copy,,,,,,f,f,t,,
AB77638,,2026-01-28 09:55:59.560474+00,first_copy,,,,,,f,f,t,,
AB77639,,2026-01-28 09:55:59.560474+00,first_copy,,,,,,f,f,t,,
AB77640,,2026-01-28 09:55:59.560474+00,first_copy,,,,,,f,f,t,,
AB77641,,2026-01-28 09:55:59.560474+00,first_copy,,,,,,f,f,t,,
AB77642,,2026-01-28 09:55:59.560474+00,first_copy,,,,,,f,f,t,,
AB77605,,2026-01-28 09:54:26.547818+00,first_copy,,,,,,f,f,t,,
AB77606,,2026-01-28 09:54:26.547818+00,first_copy,,,,,,f,f,t,,
AB77607,,2026-01-28 09:54:26.547818+00,first_copy,,,,,,f,f,t,,
AB77608,,2026-01-28 09:54:26.547818+00,first_copy,,,,,,f,f,t,,
AB77609,,2026-01-28 09:54:26.547818+00,first_copy,,,,,,f,f,t,,
AB77643,,2026-01-28 09:55:59.560474+00,first_copy,,,,,,f,f,t,,
AB77644,,2026-01-28 09:55:59.560474+00,first_copy,,,,,,f,f,t,,
AB77645,,2026-01-28 09:55:59.560474+00,first_copy,,,,,,f,f,t,,
AB77649,,2026-01-28 09:55:59.560474+00,first_copy,,,,,,f,f,t,,
AB77650,,2026-01-28 09:55:59.560474+00,first_copy,,,,,,f,f,t,,
AB77651,,2026-01-28 09:55:59.560474+00,first_copy,,,,,,f,f,t,,
AB77652,,2026-01-28 09:55:59.560474+00,first_copy,,,,,,f,f,t,,
AB77661,,2026-01-28 10:15:06.004541+00,first_copy,,,,,,f,f,t,,
AB77653,,2026-01-28 09:55:59.560474+00,first_copy,,,,,,f,f,t,,
AB77654,,2026-01-28 09:55:59.560474+00,first_copy,,,,,,f,f,t,,
AB77655,,2026-01-28 09:55:59.560474+00,first_copy,,,,,,f,f,t,,
AB77656,,2026-01-28 09:55:59.560474+00,first_copy,,,,,,f,f,t,,
AB77657,,2026-01-28 09:55:59.560474+00,first_copy,,,,,,f,f,t,,
AB77658,,2026-01-28 09:55:59.560474+00,first_copy,,,,,,f,f,t,,
AB77659,,2026-01-28 09:55:59.560474+00,first_copy,,,,,,f,f,t,,
AB77660,,2026-01-28 09:55:59.560474+00,first_copy,,,,,,f,f,t,,
AB77662,,2026-01-28 10:22:14.749179+00,first_copy,,,,,,f,f,t,,
AB77663,,2026-01-28 10:22:14.749179+00,first_copy,,,,,,f,f,t,,
AB77667,,2026-01-28 10:22:14.749179+00,first_copy,,,,,,f,f,t,,
AB77674,,2026-01-28 10:35:42.11149+00,first_copy,,,,,,f,f,t,,
AB77664,,2026-01-28 10:38:09.369547+00,first_copy,,,,,,f,f,t,,
AB77665,,2026-01-28 10:38:09.369547+00,first_copy,,,,,,f,f,t,,
AB77666,,2026-01-28 10:38:09.369547+00,first_copy,,,,,,f,f,t,,
AB77675,,2026-01-28 10:38:09.369547+00,first_copy,,,,,,f,f,t,,
AB77676,,2026-01-28 10:38:09.369547+00,first_copy,,,,,,f,f,t,,
AB77677,,2026-01-28 10:38:09.369547+00,first_copy,,,,,,f,f,t,,
AB77673,,2026-01-28 10:40:58.743213+00,first_copy,,,,,,f,f,t,,
AB77680,,2026-01-28 11:09:17.818493+00,first_copy,,,,,,f,f,t,,
AB77681,,2026-01-28 11:09:17.818493+00,first_copy,,,,,,f,f,t,,
AB77682,,2026-01-28 11:19:30.280691+00,first_copy,,,,,,f,f,t,,
AB77683,,2026-01-28 11:19:30.280691+00,first_copy,,,,,,f,f,t,,
AB77684,,2026-01-28 11:19:30.280691+00,first_copy,,,,,,f,f,t,,
AB77669,,2026-01-28 11:39:52.753675+00,first_copy,,,,,,f,f,t,,
AB77670,,2026-01-28 11:39:52.753675+00,first_copy,,,,,,f,f,t,,
AB77671,,2026-01-28 11:39:52.753675+00,first_copy,,,,,,f,f,t,,
AB77672,,2026-01-28 11:39:52.753675+00,first_copy,,,,,,f,f,t,,
AB77687,,2026-01-28 11:39:52.753675+00,first_copy,,,,,,f,f,t,,
AB77692,,2026-01-28 11:39:52.753675+00,first_copy,,,,,,f,f,t,,
AB77693,,2026-01-28 11:39:52.753675+00,first_copy,,,,,,f,f,t,,
AB77694,,2026-01-28 11:39:52.753675+00,first_copy,,,,,,f,f,t,,
AB77695,,2026-01-28 11:39:52.753675+00,first_copy,,,,,,f,f,t,,
AB77696,,2026-01-28 11:39:52.753675+00,first_copy,,,,,,f,f,t,,
AB77697,,2026-01-28 11:39:52.753675+00,first_copy,,,,,,f,f,t,,
