id,inum_id,cbu,sku,qty,mrp
148,9533038114,FDNB1R0,FDNB0,4,0
149,9533038114,FDNC1R0,FDNC0,4,0
150,9533038114,FPCG100,FPCA8,1,0
151,9533038114,FPCH100,FPCA9,1,0
152,9533038114,FPEK1R1,FPEK3,2,0
153,9533038114,FPRA1R0,FPLC0,2,0
154,9533038114,FPRA1R0,FPLC0,4,0
155,9533038114,FPRA2R0,FPLC3,6,0
156,9533038114,FSLH1R0,FSLH2,1,0
157,9533038114,FSLH1R0,FSLH2,1,0
158,9533038114,FSLI1R0,FSLI2,2,0
159,9533038114,FSLJ1R0,FSLJ2,2,0
160,9533038114,FSLK1R0,FSLK3,2,0
161,9533038114,FSLL1R0,FSLL2,2,0
162,9533038114,FSLM1R0,FSLM2,2,0
163,9533038114,FSLP1R0,FSLP4,2,0
164,9533038114,FSLQ1R0,FSLQ4,2,0
165,9533038114,FSLR1R0,FSLR4,2,0
166,9533038114,FSLS1R0,FSLS4,2,0
167,9533038114,FSLX100,FSLX1,1,0
168,9533038114,FSLY100,FSLY1,1,0
169,9533038114,FSLZ100,FSLZ1,1,0
170,9533038114,FSMO100,FSMO1,2,0
171,9533038114,FSMP1R0,FSMP4,2,0
172,9533038114,FSOA100,FSOA1,1,0
173,9533038114,HIJA100,HIJA1,1,0
174,9533038114,HIJB100,HIJB1,1,0
175,9533038114,HIJC100,HIJC1,1,0
176,9533038114,HIJE100,HIJE1,1,0
177,9533038114,HIJF100,HIJF1,1,0
178,9533038114,JJKA100,JJKA1,3,0
179,9533038114,JJKA100,JJKA1,2,0
180,9533038114,JPXA100,JPXA1,5,0
181,9533038114,JPXB100,JPXB1,5,0
182,9533038114,JPXC100,JPXC1,5,0
183,9533038114,JPXD100,JPXD1,5,0
184,9533038114,JPXE100,JPXE1,5,0
185,9533038114,JPXF100,JPXF1,5,0
186,9533038114,JPXG100,JPXG1,5,0
187,9533038114,JPXH100,JPXH1,5,0
188,9533038114,JPXI100,JPXI1,5,0
189,9533038114,JPXJ100,JPXJ1,5,0
190,9533038114,JPXK100,JPXK1,5,0
191,9533038114,JPXL100,JPXL1,5,0
192,9533038114,JPXM100,JPXM1,5,0
193,9533038114,JPXN100,JPXN1,5,0
194,9533038114,JPXO100,JPXO1,5,0
195,9533038114,JPXP100,JPXP1,5,0
196,9533038114,JPXQ100,JPXQ1,5,0
197,9533038114,JPXR100,JPXR1,5,0
198,9533038114,JPXS100,JPXS1,5,0
199,9533038114,JPXT100,JPXT1,5,0
200,9533038114,JPXU100,JPXU1,5,0
201,9533038114,JPXV100,JPXV1,5,0
202,9533038114,JPXW100,JPXW1,5,0
203,9533038114,JPXX100,JPXX1,5,0
204,9533038114,JPXY100,JPXY1,5,0
205,9533038114,KAJE1R0,KAJC0,20,0
206,9533038114,KAJL1R0,KAJC4,2,0
207,9533038114,KAJW1R3,KAJW4,3,0
208,9533038114,KAJW1R3,KAJW4,9,0
209,9533038114,KAKA1R0,KAJD0,12,0
210,9533038114,KBJA1R0,KAJZ4,2,0
211,9533038114,LCLE1R0,LCLF4,2,0
212,9533038114,LCLF1R0,LCLF9,2,0
213,9533038114,LCLG1R0,LCLF5,2,0
214,9533038114,LCLH1R0,LCLF6,2,0
215,9533038114,LCLI1R0,LCLG2,2,0
216,9533038114,LCLL1R0,LCLG4,2,0
217,9533038114,LCLP1R0,LCLE8,2,0
218,9533038114,LCLQ1R0,LCLF7,2,0
219,9533038114,LCLR1R0,LCLE2,2,0
220,9533038114,LCLS1R0,LCLE7,2,0
221,9533038114,LCLU1R0,LCLF8,2,0
222,9533038114,LCLW1R0,LCLG3,2,0
223,9533038114,LCML1R0,LCLE9,2,0
224,9533038114,LCMO1R0,LCLF0,2,0
225,9533038114,LCMQ1R0,LCLE3,2,0
226,9533038114,LCMR1R0,LCMR2,1,0
227,9533038114,LCMR1R0,LCMR2,1,0
228,9533038114,LCMU1R0,LCLF3,2,0
229,9533038114,LCNB100,LCNB1,1,0
